x y z
25 568.614 9.19941
25.1 569.531 9.13525
25.2 570.441 9.0713
25.3 571.345 9.00756
25.4 572.243 8.94402
25.5 573.134 8.88069
25.6 574.019 8.81757
25.7 574.898 8.75464
25.8 575.77 8.69191
25.9 576.636 8.62938
26 577.496 8.56705
26.1 578.349 8.5049
26.2 579.197 8.44295
26.3 580.038 8.38118
26.4 580.873 8.3196
26.5 581.702 8.25821
26.6 582.525 8.197
26.7 583.341 8.13596
26.8 584.152 8.07511
26.9 584.956 8.01444
27 585.755 7.95394
27.1 586.547 7.89361
27.2 587.334 7.83346
27.3 588.114 7.77347
27.4 588.888 7.71365
27.5 589.657 7.654
27.6 590.419 7.59451
27.7 591.176 7.53519
27.8 591.926 7.47603
27.9 592.671 7.41703
28 593.409 7.35818
28.1 594.142 7.29949
28.2 594.869 7.24095
28.3 595.591 7.18257
28.4 596.306 7.12434
28.5 597.015 7.06626
28.6 597.719 7.00832
28.7 598.417 6.95054
28.8 599.109 6.89289
28.9 599.796 6.83539
29 600.476 6.77804
29.1 601.151 6.72082
29.2 601.821 6.66374
29.3 602.484 6.6068
29.4 603.142 6.54999
29.5 603.794 6.49332
29.6 604.441 6.43678
29.7 605.081 6.38037
29.8 605.717 6.32409
29.9 606.346 6.26794
30 606.97 6.21191
30.1 607.589 6.15601
30.2 608.201 6.10024
30.3 608.809 6.04459
30.4 609.41 5.98906
30.5 610.007 5.93364
30.6 610.597 5.87835
30.7 611.182 5.82318
30.8 611.762 5.76812
30.9 612.336 5.71317
31 612.904 5.65834
31.1 613.467 5.60362
31.2 614.025 5.54901
31.3 614.577 5.49451
31.4 615.124 5.44012
31.5 615.665 5.38583
31.6 616.201 5.33165
31.7 616.732 5.27758
31.8 617.257 5.2236
31.9 617.776 5.16973
32 618.291 5.11596
32.1 618.8 5.06229
32.2 619.303 5.00871
32.3 619.801 4.95523
32.4 620.294 4.90185
32.5 620.782 4.84856
32.6 621.264 4.79537
32.7 621.741 4.74227
32.8 622.212 4.68926
32.9 622.679 4.63633
33 623.14 4.5835
33.1 623.595 4.53075
33.2 624.046 4.47809
33.3 624.491 4.42552
33.4 624.931 4.37303
33.5 625.366 4.32062
33.6 625.795 4.26829
33.7 626.219 4.21604
33.8 626.638 4.16388
33.9 627.052 4.11179
34 627.461 4.05978
34.1 627.864 4.00784
34.2 628.262 3.95598
34.3 628.655 3.90419
34.4 629.043 3.85248
34.5 629.426 3.80084
34.6 629.803 3.74927
34.7 630.175 3.69777
34.8 630.543 3.64633
34.9 630.905 3.59497
35 631.262 3.54367
35.1 631.613 3.49244
35.2 631.96 3.44127
35.3 632.302 3.39017
35.4 632.638 3.33912
35.5 632.97 3.28814
35.6 633.296 3.23722
35.7 633.617 3.18636
35.8 633.933 3.13556
35.9 634.244 3.08481
36 634.55 3.03412
36.1 634.851 2.98349
36.2 635.147 2.93291
36.3 635.438 2.88239
36.4 635.723 2.83191
36.5 636.004 2.78149
36.6 636.28 2.73112
36.7 636.55 2.6808
36.8 636.816 2.63053
36.9 637.076 2.58031
37 637.332 2.53013
37.1 637.582 2.48
37.2 637.828 2.42991
37.3 638.068 2.37986
37.4 638.304 2.32986
37.5 638.534 2.27991
37.6 638.76 2.22999
